127.0.0.1 - - [30/Sep/2021:20:09:11 +0900] "GET / HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/fullcalendar.min.js HTTP/1.1" 200 213774
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/select2.min.js HTTP/1.1" 200 67751
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 38510
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/js/ko.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /js/global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/js/addEvent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/js/editEvent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/js/etcSetting.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-09-26&endDate=2021-10-03 HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /home?cmd=index HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/css/fullcalendar.min.css HTTP/1.1" 200 16066
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/css/select2.min.css HTTP/1.1" 200 15275
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 7771
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /css/reset.css HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/css/main.css HTTP/1.1" 200 5214
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /css/home.css HTTP/1.1" 200 9648
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/fullcalendar.min.js HTTP/1.1" 200 213774
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/ko.js HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/select2.min.js HTTP/1.1" 200 67751
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/vendor/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 38510
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /js/global.js HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /js/home.js HTTP/1.1" 200 11962
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/js/addEvent.js HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/js/etcSetting.js HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /util/fullCalendar/js/editEvent.js HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:27 +0900] "GET /storage/img/Logo.png HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:29 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-09-26&endDate=2021-10-03 HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:10:18 +0900] "GET /member?cmd=memberManage HTTP/1.1" 200 15358
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:02 +0900] "GET /index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:09 +0900] "POST /member?cmd=login.do HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:09 +0900] "GET /home?cmd=index HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:09 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-09-26&endDate=2021-10-03 HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:11 +0900] "GET /member?cmd=memberManage HTTP/1.1" 200 15358
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:11 +0900] "GET /js/jquery.js HTTP/1.1" 200 89500
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:11 +0900] "GET /css/member-manage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:11 +0900] "GET /js/member-manage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:11 +0900] "GET /css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:23 +0900] "GET /member?cmd=myPage.do HTTP/1.1" 200 5200
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:23 +0900] "GET /js/my-page.js HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:23 +0900] "GET /css/my-page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:42 +0900] "GET /chat?cmd=chatting HTTP/1.1" 200 16045
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:42 +0900] "GET /storage/img/addBtn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:42 +0900] "GET /css/chat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:44 +0900] "GET /chat?cmd=chattingDetail&room= HTTP/1.1" 500 1428
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:50 +0900] "GET /chat?cmd=createRoom&json=%5B%7B%22name%22%3A%22name%22%2C%22value%22%3A%2214%22%7D%2C%7B%22name%22%3A%22name%22%2C%22value%22%3A%223%22%7D%5D HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:17:52 +0900] "GET /chat?cmd=chattingDetail&room=39 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:04 +0900] "GET /company?cmd=map HTTP/1.1" 200 197558
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:04 +0900] "GET /css/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:04 +0900] "GET /js/map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:47 +0900] "GET /schedule?cmd=index HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:47 +0900] "GET /css/schedule.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:47 +0900] "GET /util/fullCalendar/js/main.js HTTP/1.1" 200 10390
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:47 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-08-29&endDate=2021-10-03 HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:07 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-09-26&endDate=2021-11-07 HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:08 +0900] "GET /schedule?cmd=getMonthList.do&startDate=2021-08-29&endDate=2021-10-03 HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:13 +0900] "GET /student?cmd=classRoomSet HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:13 +0900] "GET /css/class-room.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:19 +0900] "GET /student?cmd=attend HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:19 +0900] "GET /css/attendance.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:19 +0900] "GET /js/attendance.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:21 +0900] "GET /student?cmd=studentDetail&studentIdx=30 HTTP/1.1" 200 8488
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:54 +0900] "GET /company?cmd=notice HTTP/1.1" 200 13747
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:54 +0900] "GET /css/company.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:54 +0900] "GET /js/company.js HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:57 +0900] "GET /applicant?cmd=start HTTP/1.1" 200 10458
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:57 +0900] "GET /css/applicant.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:19:57 +0900] "GET /applicant0 HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:00 +0900] "GET /student?cmd=cons HTTP/1.1" 200 10409
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:00 +0900] "GET /css/student-counseling-list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:00 +0900] "GET /js/student-counseling-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:01 +0900] "GET /student?cmd=counselDetail&_name=%EC%9C%A4%ED%9A%A8%EC%A3%BC&_idx=28 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:02 +0900] "GET /student?cmd=counselDetail&_name=%EA%B9%80%EB%8B%A4%EC%9C%A4&_idx=27 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:03 +0900] "GET /student?cmd=counselDetail&_name=%EC%9D%B4%EC%A4%80%EC%84%9D&_idx=26 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:04 +0900] "GET /student?cmd=checkIn HTTP/1.1" 200 10545
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:04 +0900] "GET /js/student-check-in.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:04 +0900] "GET /css/student-check-in.css HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:07 +0900] "GET /student?cmd=studentDetail&studentIdx=28 HTTP/1.1" 200 8488
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:11 +0900] "GET /student?cmd=index HTTP/1.1" 200 4561
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:11 +0900] "GET /js/student-info.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:11 +0900] "GET /css/student-info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:12 +0900] "GET /student?cmd=info&roomNumber=301&perPage=&page=1 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:13 +0900] "GET /board?cmd=selectList.do HTTP/1.1" 200 11014
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:13 +0900] "GET /css/board-list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:19 +0900] "GET /board?cmd=write HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:19 +0900] "GET /css/board-write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:26 +0900] "GET /board?cmd=detail&idx=189 HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:26 +0900] "GET /js/board-detail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:26 +0900] "GET /css/board-detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:30 +0900] "GET /board?cmd=detail&idx=123 HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:32 +0900] "GET /board?cmd=detail&idx=121 HTTP/1.1" 200 8563
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:34 +0900] "GET /board?cmd=detail&idx=120 HTTP/1.1" 200 9508
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:36 +0900] "GET /board?cmd=detail&idx=187 HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:38 +0900] "GET /board?cmd=detail&idx=105 HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:43 +0900] "GET /board?cmd=detail&idx=188 HTTP/1.1" 200 7586
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:43 +0900] "GET /board?cmd=detail&idx=188 HTTP/1.1" 200 7586
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:06 +0900] "GET /board?cmd=modify&idx=188 HTTP/1.1" 200 4201
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:06 +0900] "GET /css/board-modify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:57 +0900] "GET /member?cmd=logout HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:58 +0900] "GET / HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /board?cmd=selectList.do HTTP/1.1" 200 9997
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /storage/img/Logo.png HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /css/board-list.css HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /js/jquery.js HTTP/1.1" 200 89500
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /js/global.js HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /css/global.css HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:02 +0900] "GET /css/reset.css HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:05 +0900] "GET /index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:10 +0900] "GET /student?cmd=index HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:10 +0900] "GET /css/student-info.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:10 +0900] "GET /js/jquery.js HTTP/1.1" 200 89500
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:10 +0900] "GET /js/global.js HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:10 +0900] "GET /storage/img/Logo.png HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:11 +0900] "GET /js/student-info.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:11 +0900] "GET /css/global.css HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:11 +0900] "GET /css/reset.css HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:12 +0900] "GET /index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
